	s1	s2	labels
0	http://www.openkg.cn/COVID-19/wiki/resource/R1975	http://www.openkg.cn/COVID-19/goods/resource/R0098	1.0
1	http://www.openkg.cn/COVID-19/wiki/resource/R2197	http://www.openkg.cn/COVID-19/goods/resource/R0077	1.0
